organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Dental Vocational Training Authority,dental-vocational-training-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department for Business and Trade,department-for-business-and-trade,Ministerial department,live,,4133,2031,588,29,301,16,2,335,40,0,219,281,49,16,53,53,5,44
"Department for Business, Energy & Industrial Strategy",department-for-business-energy-and-industrial-strategy,Ministerial department,closed,,7019,2399,379,8,129,0,0,259,171,1,233,609,65,11,177,320,16,21
"Department for Business, Enterprise and Regulatory Reform",department-for-business-enterprise-and-regulatory-reform,Ministerial department,closed,,36,27,0,0,0,0,0,8,0,0,0,0,0,2,17,0,0,0
"Department for Business, Innovation & Skills",department-for-business-innovation-skills,Ministerial department,closed,,6029,1666,19,0,4,0,0,415,2,0,8,719,57,92,135,188,8,19
"Department for Children, Schools and Families",department-for-children-schools-and-families,Ministerial department,closed,,28,25,1,0,0,0,0,10,0,0,0,0,1,0,13,0,0,0
Department for Communities (Northern Ireland),department-for-communities-northern-ireland,Other,exempt,northern-ireland-executive,477,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Department for Constitutional Affairs,department-for-constitutional-affairs,Ministerial department,closed,,53,49,3,0,0,0,0,31,0,0,0,0,0,0,15,0,0,0
"Department for Culture, Media and Sport",department-for-culture-media-and-sport,Ministerial department,live,,2477,1316,229,9,155,0,0,317,0,1,37,352,76,23,76,27,0,14
"Department for Digital, Culture, Media & Sport",department-for-digital-culture-media-sport,Ministerial department,closed,,7420,2068,301,7,139,0,0,411,9,4,36,290,93,30,517,181,12,38
Department for Education,department-for-education,Ministerial department,live,,11075,4038,1048,82,281,165,15,322,174,0,2,1233,133,93,114,301,37,38
Department for Education and Skills,department-for-education-and-skills,Ministerial department,closed,,33,26,0,0,0,0,0,13,0,0,0,0,1,0,12,0,0,0
Department for Employment and Learning,department-for-employment-and-learning,Ministerial department,closed,,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department for Energy Security and Net Zero,department-for-energy-security-and-net-zero,Ministerial department,live,,4839,2766,392,13,96,9,1,243,683,0,407,645,34,10,56,128,1,48
"Department for Environment, Food & Rural Affairs",department-for-environment-food-rural-affairs,Ministerial department,live,,21049,4630,752,132,799,9,1,1006,181,0,21,528,132,15,200,504,74,276
Department for Exiting the European Union,department-for-exiting-the-european-union,Ministerial department,closed,,485,119,7,1,0,0,0,100,0,0,0,1,0,0,6,0,4,0
Department for Infrastructure (Northern Ireland),department-for-infrastructure-northern-ireland,Other,exempt,northern-ireland-executive,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Department for Innovation, Universities and Skills",department-for-innovation-universities-and-skills,Ministerial department,closed,,16,14,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0
Department for International Development,department-for-international-development,Ministerial department,closed,,5621,2073,167,0,46,0,0,737,0,0,2,93,596,19,373,6,33,1
Department for International Trade,department-for-international-trade,Other,closed,,2795,759,202,2,118,0,0,108,19,0,139,111,3,13,20,18,5,1
Department for International Trade Defence & Security Organisation,department-for-international-trade-defence-and-security-organisation,Sub organisation,closed,department-for-international-trade,53,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Department for Levelling Up, Housing and Communities ",department-for-levelling-up-housing-and-communities,Other,closed,,3321,1324,408,29,363,0,0,208,4,0,1,128,65,6,11,80,0,21
Department for Regional Development (Northern Ireland),department-for-regional-development,Other,closed,,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Department for Science, Innovation and Technology",department-for-science-innovation-and-technology,Ministerial department,live,,2718,1306,217,5,144,5,1,300,0,3,119,349,78,12,42,13,4,14
Department for Social Development,department-for-social-development,Ministerial department,closed,,52,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Department for the Economy (Northern Ireland),department-for-the-economy-northern-ireland,Other,exempt,northern-ireland-executive,210,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
Department for Transport,department-for-transport,Ministerial department,live,,10528,3078,709,52,109,62,2,368,142,0,41,678,114,19,274,446,21,41
Department for Work and Pensions,department-for-work-pensions,Ministerial department,live,,10821,2847,518,13,115,28,1,318,2,0,1,887,180,181,320,246,14,23
Department of Agriculture and Rural Development,department-of-agriculture-and-rural-development,Ministerial department,closed,,92,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",department-of-agriculture-environment-and-rural-affairs-northern-ireland,Other,exempt,northern-ireland-executive,669,37,1,1,6,0,0,13,0,0,0,0,0,0,1,15,0,0
Department of Constitutional Affairs,department-of-constitutional-affairs,Ministerial department,closed,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Department of Culture, Arts and Leisure",department-of-culture-arts-and-leisure,Ministerial department,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department of Education (Northern Ireland),department-of-education,Other,exempt,northern-ireland-executive,135,10,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0
Department of Energy & Climate Change,department-of-energy-climate-change,Ministerial department,closed,,5098,1466,142,2,2,0,0,398,2,3,1,323,50,49,213,234,24,23
"Department of Enterprise, Trade and Investment (Northern Ireland)",department-of-enterprise-trade-and-investment,Ministerial department,closed,,8,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Department of Finance (Northern Ireland),department-of-finance-northern-ireland,Other,exempt,northern-ireland-executive,531,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Department of Finance and Personnel for Northern Ireland,department-of-finance-and-personnel-for-northern-ireland,Ministerial department,closed,,31,13,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0
