organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Joint Nature Conservation Committee,joint-nature-conservation-committee,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,207,28,0,0,0,0,0,6,0,0,0,0,0,0,20,2,0,0
Judicial Appointments and Conduct Ombudsman,judicial-appointments-and-conduct-ombudsman,Other,live,ministry-of-justice,37,30,1,0,2,0,0,2,0,0,0,0,0,0,25,0,0,0
Judicial Appointments Commission,judicial-appointments-commission,Executive non-departmental public body,exempt,ministry-of-justice,38,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Judicial Office,judicial-office,Other,exempt,ministry-of-justice,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Kent and Somerset Education Action Zone,kent-and-somerset-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kerr / Haslam Inquiry,kerr-haslam-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
King's Bench Division of the High Court,kings-bench-division-of-the-high-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King's Harbour Master,kings-harbour-master,Sub organisation,live,ministry-of-defence,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitts Green and Shard End Education Action Zone,kitts-green-and-shard-end-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Labour Market Evidence Group,labour-market-evidence-group,Ad-hoc advisory group,live,home-office,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labour Relations Agency (Northern Ireland),labour-relations-agency,Other,exempt,department-for-the-economy-northern-ireland,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lake District National Park Authority,lake-district-national-park-authority,Other,exempt,department-for-environment-food-rural-affairs,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lammy Review,lammy-review,Other,closed,,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Land Registers of Northern Ireland,land-registers-of-northern-ireland,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Land Registration Rule Committee,land-registration-rule-committee,Other,live,ministry-of-housing-communities-local-government,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Law Commission,law-commission,Advisory non-departmental public body,exempt,ministry-of-justice,192,179,0,0,0,0,0,15,0,0,0,113,21,0,29,1,0,0
Leadership College for Government,leadership-college-for-government,Sub organisation,live,cabinet-office,13,11,4,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0
Learning and Skills Council,learning-and-skills-council,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Leasehold Advisory Service,leasehold-advisory-service,Executive non-departmental public body,exempt,ministry-of-housing-communities-local-government,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Legal Aid Agency,legal-aid-agency,Executive agency,live,ministry-of-justice,1303,200,80,2,59,0,0,0,1,0,1,2,3,0,46,5,0,1
Legal Aid Board,legal-aid-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Legal Services Agency (Northern Ireland),legal-services-agency-northern-ireland,Executive agency,exempt,department-of-justice-northern-ireland,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Services Board,legal-services-board,Executive non-departmental public body,exempt,ministry-of-justice,34,16,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Legal Services Commission,legal-services-commission,Executive agency,closed,ministry-of-justice,14,12,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0
Leigh Park Education Action Zone,leigh-park-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Leitch Review of Skills,leitch-review-of-skills,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leveson Inquiry,leveson-inquiry,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
LGBT Veterans Independent Review,lgbt-veterans-independent-review,Other,live,,11,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Life Sciences Organisation,life-sciences-organisation,Other,live,,22,13,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Life Sentence Review Commissioners,life-sentence-review-commissioners,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Livestock and Meat Commission for Northern Ireland,livestock-and-meat-commission-for-northern-ireland,Executive non-departmental public body,exempt,department-of-agriculture-environment-and-rural-affairs-northern-ireland,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Local Better Regulation Office,local-better-regulation-office,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Local Government and Social Care Ombudsman,local-government-ombudsman,Other,exempt,ministry-of-housing-communities-local-government,28,21,0,0,0,0,0,1,0,0,0,0,1,0,19,0,0,0
LocatED,located,Executive non-departmental public body,exempt,department-for-education,12,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
London and Continental Railways Limited,london-and-continental-railways-ltd,Public corporation,closed,department-for-transport,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
London Thames Gateway Development Corporation,london-thames-gateway-development-corporation,Executive non-departmental public body,closed,ministry-of-housing-communities-and-local-government-2018-2021,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Lord Chancellor's Department,lord-chancellors-department,Ministerial department,closed,,12,10,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
Loughs Agency,loughs-agency,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Low Carbon Contracts Company,low-carbon-contracts-company,Other,exempt,department-for-energy-security-and-net-zero,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Low Level Waste Repository Ltd ,low-level-waste-repository-ltd,Other,closed,nuclear-decommissioning-authority,170,52,3,0,2,0,0,1,0,0,0,0,0,1,41,4,0,0
Low Pay Commission,low-pay-commission,Advisory non-departmental public body,live,department-for-business-and-trade,349,126,1,0,0,0,0,4,0,0,0,96,1,1,7,13,0,3
Lyons Inquiry into Local Government,lyons-inquiry-into-local-government,Other,closed,,6,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
Macur Review,macur-review,Other,closed,,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Magnox Ltd,magnox-ltd,Other,closed,nuclear-decommissioning-authority,223,74,11,0,4,0,0,3,0,0,0,0,0,2,50,4,0,0
Marine Accident Investigation Branch,marine-accident-investigation-branch,Other,live,department-for-transport,1695,1320,12,0,0,0,0,8,0,0,0,175,0,0,26,3,0,1096
Marine Fisheries Agency,marine-fisheries-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Marine Management Organisation,marine-management-organisation,Executive non-departmental public body,live,department-for-environment-food-rural-affairs,2049,736,104,64,130,0,0,19,59,0,12,175,0,2,28,39,11,93
Maritime and Coastguard Agency,maritime-and-coastguard-agency,Executive agency,live,department-for-transport,1955,1220,825,43,91,11,2,8,0,0,3,26,7,2,47,130,0,25
Marshall Aid Commemoration Commission,marshall-aid-commemoration-commission,Executive non-departmental public body,exempt,foreign-commonwealth-development-office,54,45,1,0,1,0,0,1,0,0,0,0,0,0,42,0,0,0
Meat and Livestock Commission,meat-and-livestock-commission,Independent monitoring body,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Meat Hygiene Service,meat-hygiene-service,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Medical Profession,civil-service-medical-profession,Sub organisation,live,civil-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Research Council,medical-research-council,Sub organisation,exempt,uk-research-and-innovation,53,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
Medical Supplies Agency,medical-supplies-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Medicines and Healthcare products Regulatory Agency,medicines-and-healthcare-products-regulatory-agency,Executive agency,live,department-of-health-and-social-care,4464,943,233,1,158,0,0,7,346,1,4,42,4,0,58,51,7,31
Mental Health Act Commission,mental-health-act-commission,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Met Office,met-office,Executive agency,exempt,department-for-science-innovation-and-technology,102,45,17,0,0,0,0,0,0,0,2,1,0,0,22,0,0,3
Mid Staffordshire NHS Foundation Trust Public Inquiry 2010,mid-staffordshire-nhs-foundation-trust-public-inquiry-2010,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mid Staffordshire NHS Foundation Trust Public Inquiry 2013,mid-staffordshire-nhs-foundation-trust-public-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Migration Advisory Committee,migration-advisory-committee,Advisory non-departmental public body,live,home-office,211,109,7,0,1,0,0,4,0,0,0,14,58,0,19,6,0,0
Military Aviation Authority,military-aviation-authority,Sub organisation,live,ministry-of-defence,753,687,62,0,0,0,0,0,0,603,0,1,2,0,19,0,0,0
Military Engineering Experimental Establishment,military-engineering-experimental-establishment,Other,exempt,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milk Development Council,milk-development-council,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Millennium Commission,millennium-commission,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Mining Remediation Authority,mining-remediation-authority,Executive non-departmental public body,live,department-for-energy-security-and-net-zero,141,45,26,0,7,0,0,0,1,0,4,0,0,0,7,0,0,0
Ministry of Defence,ministry-of-defence,Ministerial department,live,,14840,3611,1032,3,244,0,0,288,0,608,29,160,82,10,538,85,7,525
Ministry of Defence Police and Guarding Agency,ministry-of-defence-police-and-guarding-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ministry of Housing, Communities & Local Government (2018 to 2021)",ministry-of-housing-communities-and-local-government-2018-2021,Ministerial department,closed,,10849,2504,698,35,120,0,0,635,5,0,2,228,91,106,94,372,88,30
"Ministry of Housing, Communities and Local Government",ministry-of-housing-communities-local-government,Ministerial department,live,,3254,1753,709,50,411,110,10,120,10,0,2,162,49,4,12,55,0,49
Ministry of Justice,ministry-of-justice,Ministerial department,live,,8026,2509,470,9,480,12,2,582,1,0,9,343,65,15,300,175,8,38
Modernisation and Reform,modernisation-and-reform,Sub organisation,live,cabinet-office,24,9,3,0,0,0,0,2,0,0,1,0,3,0,0,0,0,0
Money and Pensions Service,single-financial-guidance-body,Executive non-departmental public body,exempt,department-for-work-pensions,24,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Monitor,monitor,Executive non-departmental public body,closed,department-of-health-and-social-care,1007,269,69,24,18,0,0,6,4,0,5,43,21,1,44,24,0,10
Monopolies and Mergers Commission,monopolies-and-mergers-commission,Other,closed,,36,34,0,0,0,0,0,1,0,0,0,13,0,0,20,0,0,0
Morecambe Bay Investigation,morecambe-bay-investigation,Other,closed,department-of-health-and-social-care,36,24,1,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0
Mull of Kintyre Review,mull-of-kintyre-review,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Museum of the Home,geffrye-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,21,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"Museums, Libraries and Archives Council",museums-libraries-and-archives-council,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
National Army Museum,national-army-museum,Executive non-departmental public body,exempt,ministry-of-defence,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
National Biological Standards Board,national-biological-standards-board,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
National Blood Authority,national-blood-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
National Care Standards Commission,national-care-standards-commission,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
National Citizen Service,national-citizen-service,Other,closed,department-for-culture-media-and-sport,18,12,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0
National College for School Leadership,national-college-for-school-leadership,Executive agency,closed,department-for-education,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
National College for Teaching and Leadership,national-college-for-teaching-and-leadership,Executive agency,closed,department-for-education,214,146,22,0,8,0,0,0,1,0,0,94,2,0,17,2,0,0
National Counter Terrorism Security Office,national-counter-terrorism-security-office,Other,exempt,home-office,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Crime Agency,national-crime-agency,Non-ministerial department,exempt,,168,98,1,0,0,0,0,68,0,0,0,6,8,0,15,0,0,0
National Crime Agency Remuneration Review Body ,national-crime-agency-remuneration-review-body,Other,live,home-office,58,18,0,0,0,0,0,1,0,0,0,6,11,0,0,0,0,0
National Crime Squad,national-crime-squad,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
National Criminal Intelligence Service,national-criminal-intelligence-service,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
National Cyber Force,national-cyber-force,Sub organisation,live,ministry-of-defence,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Cyber Security Centre,national-cyber-security-centre,Sub organisation,exempt,government-communications-headquarters,85,14,2,0,1,0,0,8,0,0,1,0,0,0,1,0,1,0
National Data Guardian,national-data-guardian,Other,live,department-of-health-and-social-care,109,33,3,0,0,0,0,5,0,0,0,2,4,0,16,3,0,0
National DNA Database Ethics Group,national-dna-database-ethics-group,Advisory non-departmental public body,closed,home-office,27,15,1,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0
National Employer Advisory Board,national-employer-advisory-board,Advisory non-departmental public body,closed,ministry-of-defence,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
National Employment Savings Trust (NEST) Corporation,national-employment-savings-trust,Public corporation,exempt,department-for-work-pensions,24,17,0,0,0,0,0,0,0,0,0,0,1,0,14,2,0,0
"National Endowment for Science, Technology and the Arts",national-endowment-for-science-technology-and-the-arts,Other,closed,,11,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
National Energy System Operator,national-energy-system-operator,Public corporation,exempt,department-for-energy-security-and-net-zero,10,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
National Forest Company,national-forest-company,Other,exempt,department-for-environment-food-rural-affairs,23,20,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1
National Fraud Authority,national-fraud-authority,Executive agency,closed,home-office,50,16,0,0,0,0,0,5,0,0,0,2,0,0,9,0,0,0
National Gallery,national-gallery,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,33,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
National Guardian's Office,national-guardians-office,Sub organisation,exempt,care-quality-commission,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
National Heritage Memorial Fund,national-heritage-memorial-fund,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,27,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
National Highways,national-highways,Executive non-departmental public body,exempt,department-for-transport,195,73,8,4,1,0,0,1,0,0,44,0,0,0,14,1,0,0
National Housing Bank,national-housing-bank,Other,live,homes-england,39,18,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0
National Information Board,national-information-board,Other,closed,department-of-health-and-social-care,49,9,1,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0
National Infrastructure and Service Transformation Authority,national-infrastructure-and-service-transformation-authority,Other,live,cabinet-office,39,20,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
National Infrastructure Commission,national-infrastructure-commission,Executive agency,closed,hm-treasury,67,30,3,0,0,0,0,11,0,0,0,5,1,0,6,4,0,0
National Institute for Health and Care Excellence,national-institute-for-clinical-excellence,Executive non-departmental public body,exempt,department-of-health-and-social-care,36,25,1,0,1,0,0,0,0,0,0,0,0,0,21,1,0,1
National Leadership Centre,national-leadership-centre,Sub organisation,closed,cabinet-office,7,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
National Lottery Heritage Fund,national-lottery-heritage-fund,Other,exempt,national-heritage-memorial-fund,18,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
National Measurement and Regulation Office,national-measurement-and-regulation-office,Executive agency,closed,better-regulation-delivery-office,40,18,0,0,0,0,0,0,0,0,0,5,0,0,11,2,0,0
National Measurement Office,national-measurement-office,Executive agency,closed,department-for-business-innovation-skills,31,11,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0
National Museum of the Royal Navy,royal-naval-museum,Executive non-departmental public body,exempt,ministry-of-defence,19,15,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
National Museums and Galleries of Northern Ireland,national-museums-and-galleries-of-northern-ireland,Other,closed,,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
National Museums Liverpool,national-museums-liverpool,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,26,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
National Museums of Scotland,national-museums-of-scotland,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
National Nuclear Laboratory,national-nuclear-laboratory,Public corporation,closed,department-for-energy-security-and-net-zero,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Offender Management Service,national-offender-management-service,Executive agency,closed,ministry-of-justice,159,63,13,1,1,0,0,4,0,0,0,22,0,0,21,1,0,0
National Patient Safety Agency,national-patient-safety-agency,Executive agency,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
National Physical Laboratory,national-physical-laboratory,Public corporation,exempt,department-for-science-innovation-and-technology,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
National Policing Improvement Agency,national-policing-improvement-agency,Executive agency,closed,,10,8,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
National Portrait Gallery,national-portrait-gallery,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,31,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
National Protective Security Authority,national-protective-security-authority,Sub organisation,exempt,the-security-service-mi5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Radiological Protection Board,national-radiological-protection-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
National Records of Scotland,national-records-of-scotland,Other,closed,,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National School of Government,national-school-of-government,Other,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
National Security and Intelligence,national-security,Sub organisation,live,cabinet-office,94,72,13,0,0,0,0,25,0,0,0,2,9,0,23,0,0,0
National Security Technology and Innovation Exchange,national-security-technology-and-innovation-exchange,Other,closed,,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
National Space Operations Centre,national-space-operations-centre,Sub organisation,live,ministry-of-defence,34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
National Treatment Agency for Substance Misuse,national-treatment-agency-for-substance-misuse,Executive agency,closed,,10,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
National Wealth Fund,national-wealth-fund,Executive non-departmental public body,live,hm-treasury,5,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
National Weights and Measures Laboratory,national-weights-and-measures-laboratory,Other,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Natural England,natural-england,Executive non-departmental public body,live,department-for-environment-food-rural-affairs,2581,1189,239,58,141,0,0,32,52,0,144,11,0,1,106,363,1,41
Natural Environment Research Council,natural-environment-research-council,Sub organisation,exempt,uk-research-and-innovation,34,22,0,0,0,0,0,0,0,0,1,1,0,0,20,0,0,0
Natural History Museum,natural-history-museum,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,32,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
Natural Resources Institute,natural-resources-institute,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Natural Resources Wales,natural-resources-wales,Other,exempt,welsh-government,78,60,10,1,18,0,0,1,7,0,0,20,0,0,1,2,0,0
Nature Conservancy Council,nature-conservancy-council,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Network Rail,network-rail,Executive non-departmental public body,exempt,department-for-transport,35,7,0,0,0,0,0,2,1,0,0,0,1,0,1,2,0,0
New Forest National Park Authority,new-forest-national-park-authority,Other,exempt,department-for-environment-food-rural-affairs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Opportunities Fund,new-opportunities-fund,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NHS Appointments Commission,nhs-appointments-commission,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
NHS Blood and Transplant,nhs-blood-and-transplant,Special health authority,exempt,department-of-health-and-social-care,26,20,0,0,0,0,0,1,0,0,0,1,0,0,18,0,0,0
NHS Business Services Authority,nhs-business-services-authority,Special health authority,exempt,department-of-health-and-social-care,46,35,2,0,0,0,0,1,0,0,0,0,0,0,31,1,0,0
NHS Counter Fraud Authority,nhs-counter-fraud-authority,Special health authority,exempt,department-of-health-and-social-care,11,9,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0
NHS Digital,nhs-digital,Executive non-departmental public body,closed,department-of-health-and-social-care,2554,10,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0
NHS Direct National Health Service Trust,nhs-direct-national-health-service-trust,Other,closed,,11,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
NHS England,nhs-england,Executive non-departmental public body,exempt,department-of-health-and-social-care,3588,503,360,6,33,0,0,22,0,0,0,32,1,1,35,8,0,5
NHS Estates,nhs-estates,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Improvement,nhs-improvement,Executive non-departmental public body,closed,department-of-health-and-social-care,15,10,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0
NHS Information Centre,nhs-information-centre,Other,closed,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Institute for Innovation and Improvement,nhs-institute-for-innovation-and-improvement,Other,closed,,10,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
NHS Litigation Authority,nhs-litigation-authority,Executive non-departmental public body,closed,department-of-health-and-social-care,13,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
NHS Logistics Authority,nhs-logistics-authority,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NHS Pay Review Body,nhs-pay-review-body,Advisory non-departmental public body,live,department-of-health-and-social-care,78,29,1,0,0,0,0,4,0,0,0,8,16,0,0,0,0,0
NHS Pensions Agency,nhs-pensions-agency,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
NHS Professionals,nhs-professionals,Other,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
NHS Purchasing and Supply Agency,nhs-purchasing-and-supply-agency,Executive agency,closed,,8,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
NHS Resolution,nhs-resolution,Special health authority,exempt,department-of-health-and-social-care,10,8,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
NHS Trust Development Authority,nhs-trust-development-authority,Executive non-departmental public body,closed,department-of-health-and-social-care,58,25,3,0,1,0,0,1,0,0,1,6,1,0,10,2,0,0
NHS Wales Informatics Service,nhs-wales-informatics-service,Other,exempt,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nimrod Review,nimrod-review,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North East Derbyshire Coalfields Education Action Zone,north-east-derbyshire-coalfields-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North East Education and Library Board,north-east-education-and-library-board,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
North Gillingham Education Action Zone,north-gillingham-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North Islington Education Action Zone,north-islington-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North Sea Transition Authority,north-sea-transition-authority,Executive non-departmental public body,exempt,department-for-energy-security-and-net-zero,12,6,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0
North Stockton Education Action Zone,north-stockton-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North West Development Agency,north-west-development-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
North West Shropshire Education Action Zone,north-west-shropshire-education-action-zone,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
North York Moors National Park Authority,north-york-moors-national-park,Other,exempt,department-for-environment-food-rural-affairs,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Health and Social Services Board,northern-health-and-social-services-board,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Audit Office,northern-ireland-audit-office,Other,closed,northern-ireland-executive,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Authority for Energy Regulation,northern-ireland-authority-for-energy-regulation,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Northern Ireland Cancer Registry,northern-ireland-cancer-registry,Other,exempt,department-of-health-northern-ireland,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Ireland Child Support Agency,northern-ireland-child-support-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Commissioner for Children and Young People,northern-ireland-commissioner-for-children-and-young-people,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Northern Ireland Council for the Curriculum, Examinations and Assessment",northern-ireland-council-for-the-curriculum-examinations-and-assessment,Executive non-departmental public body,exempt,department-of-education,9,6,2,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
Northern Ireland Courts and Tribunals Service,northern-ireland-court-service,Executive agency,exempt,department-of-justice-northern-ireland,440,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Northern Ireland Executive,northern-ireland-executive,Devolved government,exempt,,241,46,0,0,0,0,0,33,0,0,0,2,0,0,5,3,0,3
Northern Ireland Health and Social Services Estates Agency,northern-ireland-health-and-social-services-estates-agency,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland Housing Executive,northern-ireland-housing-executive,Executive non-departmental public body,exempt,department-for-communities-northern-ireland,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
