company_registration_number,donor_name_as_published,donation_rows,rows_that_would_become_signals,distinct_members,first_accepted,last_accepted,total_pence
00816896,"Petros Development Company Limited",1,0,0,2015-04-30,2015-04-30,500000
884903,"Sethia London Ltd",1,0,0,2014-09-03,2014-09-03,2000000
8854778,"PHD1 Construction Limited",1,0,0,2015-04-09,2015-04-09,180000
00803413,"PA Consulting Group Limited (sponsorship)",1,0,0,2006-10-04,2006-10-04,1175000
00795798,"HENDERSON & TAYLOR PUBLIC WORKS LIMITED ?",1,0,0,2023-03-31,2023-03-31,200000
8880969,"Massive Attack Live Limited",1,0,0,2024-06-01,2024-06-01,500000
8906234,"Datum Groundworks Ltd",1,0,0,2017-08-04,2017-08-04,500000
00794943,"Gala Leisure Ltd",1,0,0,2014-11-03,2014-11-03,200000
8973073,"Velocity Mobile Limited",1,0,0,2017-11-23,2017-11-23,1000000
8999214,"London Hotel Group Limited",1,0,0,2025-03-20,2025-03-20,375000
9002574,"London Advertising Limited",1,0,0,2017-05-23,2017-05-23,1250000
00775767,"Tees Components Ltd",1,0,0,2001-12-04,2001-12-04,200000
00051904,"William S Graham Ltd",1,0,0,2005-04-30,2005-04-30,200000
00774701,"Great Lodge Farms Ltd",1,0,0,2005-04-05,2005-04-05,500000
9021310,"NORMANDY INVEST LTD",1,0,0,2019-09-30,2019-09-30,250000
00770236,"Mascolo Limited",1,0,0,2013-02-13,2013-02-13,5000000
9033945,"Datum Group Ltd",1,0,0,2019-12-16,2019-12-16,450000
9077365,"SYCHOMETRY LIMITED",1,0,0,2019-08-09,2019-08-09,250000
9096692,"Brera Life Sciences Consultancy Limited",1,0,0,2019-10-10,2019-10-10,500000
00767976,"MARTIN'S PROPERTIES HOLDINGS LIMITED",1,0,0,2024-04-18,2024-04-18,500000
00753966,"Bolderwood Property & Investme",1,0,0,2007-05-17,2007-05-17,1000000
00751654,"WYKE FARMS LTD",1,0,0,2023-07-17,2023-07-17,500000
9140646,"Ashton Care Homes Ltd",1,0,0,2020-07-19,2020-07-19,200000
00733312,"PGC Construction Ltd",1,0,0,2006-01-20,2006-01-20,500000
00728643,"Melina Group Ltd",1,0,0,2009-05-08,2009-05-08,150000
9198322,"Cumin Turnford Limited",1,0,0,2015-05-06,2015-05-06,200000
92181,"Northampton Machinery Co Ltd",1,0,0,2007-10-15,2007-10-15,319500
00718623,"Velcourt Group PLC",1,0,0,2014-11-17,2014-11-17,200000
9251079,"BAGEHOT LTD",1,0,0,2016-02-18,2016-02-18,250000
9263424,"Octopus Energy Limited",1,0,0,2025-05-13,2025-05-13,1200000
9271666,"Movement Network",1,0,0,2017-05-09,2017-05-09,500000
9277495,"Calyx Solution Limited",1,0,0,2024-06-18,2024-06-18,500000
9279019,"Vantage Financial Limited",1,0,0,2022-04-28,2022-04-28,1000000
9284825,"NNB Generation Company (SZC) Limited",1,0,0,2023-01-30,2023-01-30,1080000
9288412,"Nagrecha Brothers",1,0,0,2015-03-26,2015-03-26,500000
00709486,"Bearwood Corporate Services Ltd",1,0,0,2005-03-21,2005-03-21,1362775
9297223,"Jones Financial (Norwich) Ltd",1,0,0,2020-08-04,2020-08-04,360000
9307185,"WOLVESEY CONSULTING LTD",1,0,0,2022-12-30,2022-12-30,230000
00045284 ?,"Grange (Birkenhead) Property Company Ltd",1,0,0,2024-11-08,2024-11-08,8800000
9336668,"CHER VARYA COMMERCIAL LTD",1,0,0,2017-06-02,2017-06-02,300000
9355226,"Open Door Property Lettings Limited",1,0,0,2023-03-01,2023-03-01,600000
9369042,"Bharat Info Tech Services UK LTD",1,0,0,2021-04-06,2021-04-06,300000
00704342,"Smiths Construction Plc",1,0,0,2004-08-31,2004-08-31,200000
00697641,"TUFM",1,0,0,2001-06-06,2001-06-06,1000000
00697600,"Clifton Nurseries Ltd",1,0,0,2016-04-07,2016-04-07,375000
00689319,"W.H.Smith & Sons (Tools) Ltd",1,0,0,2010-03-02,2010-03-02,500000
SC506890,"Palmino Homes Ltd",1,0,0,2015-07-21,2015-07-21,200000
00688424,"AtkinsRealis UK Ltd",1,0,0,2025-05-06,2025-05-06,3500000
9493369,"Most Money London Ltd",1,0,0,2019-10-15,2019-10-15,200000
00687597,"Harnage Estates Ltd",1,0,0,2010-03-31,2010-03-31,200000
9509212,"Llandudno Pier Limited",1,0,0,2021-03-08,2021-03-08,250000
95133,"St Helen's & District Conservative & Unionist Building Company L",1,0,0,2022-03-09,2022-03-09,1000000
9524439,"Becksford Gate Limited",1,0,0,2017-05-25,2017-05-25,200000
952468,"Ove Arup and Partnert International Limited",1,0,0,2013-02-04,2013-02-04,794200
00677835,"Monckton Properties Ltd",1,0,0,2025-01-02,2025-01-02,1999900
9540246,"Cambridge Realty",1,0,0,2021-05-11,2021-05-11,300000
9555621,"Stratland Estates Limited",1,0,0,2019-11-22,2019-11-22,500000
00663736,"T Kidd & Son Ltd",1,0,0,2014-09-19,2014-09-19,200000
9559801,"Invicta Public Affairs (Group) Limited",1,0,0,2025-03-19,2025-03-19,300000
956939,"Wasdell Packaging Ltd",1,0,0,2017-05-05,2017-05-05,1500000
00657276,"Esseff Furnishing Company Limited (The)",1,0,0,2015-12-09,2015-12-09,200000
9593717,"Conaghan & Company Limited",1,0,0,2019-11-26,2019-11-26,500000
9601428,"Eisler Capital UK Ltd",1,0,0,2019-12-16,2019-12-16,25000000
